mrph;fName;id;ref;PoS;cls;gD;lm;std;tx
n.sg.;Bibelstellen;JH_4;Johannes 04.06;sm.;;Quelle;стоуденьць;стоуденьць;стоуденець
n.sg.m.;Bibelstellen;JH_4;Johannes 04.06;adj.;;Jakob-;иꙗковль;иꙗковль ;иаковль. 
n.sg.;Bibelstellen;JH_4;Johannes 04.06;sm.npr.;a;Jesus;Исоусъ;Исоусъ;Исоусъ
$;Bibelstellen;JH_4;Johannes 04.06;part.;$;же;же;же;же
prc.prt.act.n.sg.m.;Bibelstellen;JH_4;Johannes 04.06;vb.;;;троудити;троу́ждь;троуждъ
a.;Bibelstellen;JH_4;Johannes 04.06;prn.;$;refl.;сѧ;сѧ;сѧ
$;Bibelstellen;JH_4;Johannes 04.06;prp.;$;von;отъ;отъ;отъ
g.sg.;Bibelstellen;JH_4;Johannes 04.06;sm.;b;Pfad;пѫть;пѫти;пѫти 
3.sg.impf.;Bibelstellen;JH_4;Johannes 04.06;vb.im.;c;sitzen;сѣдѣти;сѣдѣаше;сѣдѣаше
$;Bibelstellen;JH_4;Johannes 04.06;adv.;$;so;тако;та́ко;тако
$;Bibelstellen;JH_4;Johannes 04.06;prp.;$;auf;на;на;на
l.sg.;Bibelstellen;JH_4;Johannes 04.06;sm.;;Quelle;стоуденьць;стоуденьци ;стоуденци. 
n.sg.;Bibelstellen;JH_4;Johannes 04.06;sf.;;Stunde;година;година;годіна
$;Bibelstellen;JH_4;Johannes 04.06;part.;$;же;же;же;же
3.sg.impf.;Bibelstellen;JH_4;Johannes 04.06;vb.im.;a;sein;бꙑти;бѣ;бѣ
$;Bibelstellen;JH_4;Johannes 04.06;adv.;$;wie;ꙗко;ꙗ́ко;ѣко
n.sg.f.em.;Bibelstellen;JH_4;Johannes 04.06;adj.num.;;sechste(r,s);шестъ;шестаꙗ ;шестаа. 
$;Bibelstellen;JH_4;Johannes 04.07;prn.;$;und;и;и;И
3.sg.aor.;Bibelstellen;JH_4;Johannes 04.07;vb.pf.;b;kommen;приити;приде́;пріде
n.sg.;Bibelstellen;JH_4;Johannes 04.07;sf.;b;Ehefrau;жена;жена́;жена
$;Bibelstellen;JH_4;Johannes 04.07;prp.;$;von;отъ;отъ;отъ
g.sg.;Bibelstellen;JH_4;Johannes 04.07;sf.;;Samarien;самариꙗ;самариѩ;самариѩ
sup.;Bibelstellen;JH_4;Johannes 04.07;vb.;;schöpfen;почрьпати;почрьпатъ;почръпатъ
g.sg.;Bibelstellen;JH_4;Johannes 04.07;sf.;;Wasser;вода;водꙑ ;водъі. 
3.sg.aor.;Bibelstellen;JH_4;Johannes 04.07;vb.;a;sprechen;глаголати;глаго́ла;глагола
d.sg.f.;Bibelstellen;JH_4;Johannes 04.07;prn.;$;er,sie,es;и;ѥ́и;еи
n.sg.;Bibelstellen;JH_4;Johannes 04.07;sm.npr.;a;Jesus;Исоусъ;Исоусъ;исоусъ:
2.sg.imp.;Bibelstellen;JH_4;Johannes 04.07;vb.;c;geben;дати;даждь;даждъ
d.sg.en.;Bibelstellen;JH_4;Johannes 04.07;prn.;$;ich;азъ;ми;ми
inf.;Bibelstellen;JH_4;Johannes 04.07;vb.;;trinken;пити;пити ;піті. 
n.pl.;Bibelstellen;JH_4;Johannes 04.08;sm.;;Schüler;оученикъ;оученици́;оученици
$;Bibelstellen;JH_4;Johannes 04.08;cnj.;$;denn;бо;бо;бо
g.sg.;Bibelstellen;JH_4;Johannes 04.08;prn.;$;er,sie,es;и;ѥго́;его
prc.prf.pl.m.;Bibelstellen;JH_4;Johannes 04.08;vb.;b;verlassen;обити;ошьли;ошьлі
3.pl.impf.;Bibelstellen;JH_4;Johannes 04.08;vb.im.;a;sein;бꙑти;бѣ́ахѫ;бѣахѫ
$;Bibelstellen;JH_4;Johannes 04.08;prp.;$;in;въ;въ;въ
a.sg.;Bibelstellen;JH_4;Johannes 04.08;sm.;;Stadt;градъ ;градъ ;градъ, 
$;Bibelstellen;JH_4;Johannes 04.08;cnj.;$;dass;да;да;да
a.pl.;Bibelstellen;JH_4;Johannes 04.08;sn.;;Essen;брашъно;бра́шъна;брашъна
3.sg.prs.;Bibelstellen;JH_4;Johannes 04.08;vb.pf.;;kaufen;коупити;коупѧтъ ;коупѧтъ. 
g.sg.;Bibelstellen;LK_2;Lukas 2 (As) Überschrift;sm.;a;Monat;мѣсѧць;мѣ́сѧца;мⷺц҃а
g.sg.;Bibelstellen;LK_2;Lukas 2 (As) Überschrift;sm.;;Dezember;декѧбрь;декѧбрꙗ́;дⷧе
n.sg.m.em.;Bibelstellen;LK_2;Lukas 2 (As) Überschrift;adj.num.ord.;;zwanzigster;дъвадесѧтьнъ;дъвадесѧ́тьнъи;+и҃г҃ 
$;Bibelstellen;LK_2;Lukas 2 (As) Überschrift;prn.;$;und;и;и;+и҃г҃ 
n.sg.m.em.;Bibelstellen;LK_2;Lukas 2 (As) Überschrift;adj.num.ord.;a;vierter;четврьтъ;четврь́тъи;+и҃г҃ 
n.sg.m.;Bibelstellen;LK_2;Lukas 2 (As) Überschrift;sm.;b;Tag;дьнь;дь́нь ;и҃г҃ 
$;Bibelstellen;LK_2;Lukas 2 (As) Überschrift;prp.;$;in;въ;въ;вь
n.sg.;Bibelstellen;LK_2;Lukas 2 (As) Überschrift;sn.;a;Vorabend;навечериѥ;навече́риѥ;навечерие
g.sg.;Bibelstellen;LK_2;Lukas 2 (As) Überschrift;sn.;a;Geburt;родьство;родьства́;родства
g.sg.n.;Bibelstellen;LK_2;Lukas 2 (As) Überschrift;adj.;;christlich;хрьстовъ;хрьсто́ва;х҃ва 
g.sg.;Bibelstellen;LK_2;Lukas 2 (As) Überschrift;sn.;a;Evangelium;еванђелиѥ;еванђе́лиꙗ;евђа
$;Bibelstellen;LK_2;Lukas 2 (As) Überschrift;prp.;$;von;отъ;отъ;ѡⷮ
g.sg.;Bibelstellen;LK_2;Lukas 2 (As) Überschrift;sm.npr.;;Lukas;Лоука;Лоу́кꙑ;лоуⷦ
n.sg.;Bibelstellen;LK_2;Lukas 2 (As) Überschrift;sf.;c;Kapitel;глава;глава́;глаⷡ
n.sg.f.em.;Bibelstellen;LK_2;Lukas 2 (As) Überschrift;adj.num.ord.;???;zweiter;въторъ;вътора́ꙗ ;в҃ 
$;Bibelstellen;LK_2;Lukas 2.01;prp.;$;in;въ;въ;въ
a.sg.n.;Bibelstellen;LK_2;Lukas 2.01;prn.;$;jene(r,s);онъ;оно́;+оноⷡ
a.sg.;Bibelstellen;LK_2;Lukas 2.01;sn.;c;Zeit;врѣмѧ;врѣ́мѧ;оноⷡ
3.sg.aor.;Bibelstellen;LK_2;Lukas 2.01;vb.;;ausgehen;изити;изиде́;нзіде
n.sg.;Bibelstellen;LK_2;Lukas 2.01;sf.;;Gebot;заповѣдь;за́повѣдь;заповѣ
$;Bibelstellen;LK_2;Lukas 2.01;prp.;$;von;отъ;отъ;отъ
g.sg.;Bibelstellen;LK_2;Lukas 2.01;sm.;;Kaiser;кесарь;ке́сарꙗ;кесарѣ
g.sg.;Bibelstellen;LK_2;Lukas 2.01;sm.npr.;;Augustus;Авгоустъ;А́вгоуста ;авгоста, 
inf.;Bibelstellen;LK_2;Lukas 2.01;vb.;;aufschreiben;написати;написа́ти;напісаті
a.sg.f.;Bibelstellen;LK_2;Lukas 2.01;prn.;;all,ganz;вьсь;вьсѫ́;всѫ
a.sg.;Bibelstellen;LK_2;Lukas 2.01;sf.;;Welt;въселенаꙗ;въселе́нѫѭ ;вьселенѫѭ, 
;Bibelstellen;LK_2;Lukas 2.02;;;;;се;се
n.sg.;Bibelstellen;LK_2;Lukas 2.02;sn.;a;Zählung;написаниѥ;написа́ниѥ;напісаніе
n.sg.n.em.;Bibelstellen;LK_2;Lukas 2.02;adj.;;erste(r,s);прьвъ;прь́воѥ;пръвое
3.sg.aor.;Bibelstellen;LK_2;Lukas 2.02;vb.im.;a;sein;бꙑти;бꙑ́стъ ;бꙑⷭ, 
prc.prs.act.d.sg.m.;Bibelstellen;LK_2;Lukas 2.02;vb.;;herrschen;власти;владѫ́щоу;владѫщоу
i.sg.;Bibelstellen;LK_2;Lukas 2.02;sf.npr.;;Syrien;Сѵриꙗ;Сѵри́ѥѭ;соуріеѭ
d.sg.;Bibelstellen;LK_2;Lukas 2.02;sm.npr.;;Quirinius;Кѵринии;Кѵрини́ю;коуріниеѭ 
$;Bibelstellen;LK_2;Lukas 2.03;prn.;$;und;и;и;и
3.pl.impf.;Bibelstellen;LK_2;Lukas 2.03;vb.im.;b;gehen;ити;идѣ́ахѫ;идѣахѫ
n.pl.m.;Bibelstellen;LK_2;Lukas 2.03;prn.;;all,ganz;вьсь;вьси́;вьсі
sup.;Bibelstellen;LK_2;Lukas 2.03;vb.;;aufschreiben;написати;написа́тъ;напісатъ
a.;Bibelstellen;LK_2;Lukas 2.03;prn.;$;refl.;сѧ;сѧ ;сѧ, 
n.sg.m.;Bibelstellen;LK_2;Lukas 2.03;pron.;$;jede(r,s);къжьдо;къ́жьдо;кьждо
$;Bibelstellen;LK_2;Lukas 2.03;prp.;$;in;въ;въ;въ
a.sg.m.;Bibelstellen;LK_2;Lukas 2.03;prn.;$;sein,eigene(r,s);свои;свои;свои
a.sg.;Bibelstellen;LK_2;Lukas 2.03;sm.;;Stadt;градъ;гра́дъ ;градъ. 
3.sg.aor.;Bibelstellen;LK_2;Lukas 2.04;vb.;;losgehen;възити;възиде́;вьзіде
$;Bibelstellen;LK_2;Lukas 2.04;part.;$;же;же;же;же
n.sg.;Bibelstellen;LK_2;Lukas 2.04;sm.npr.;;Joseph;Иосифъ;Ио́сифъ;носіфь
$;Bibelstellen;LK_2;Lukas 2.04;prp.;$;von;отъ;отъ;ѡⷮ
g.sg.;Bibelstellen;LK_2;Lukas 2.04;sf.npr.;;Galilea;Галилеꙗ;Галиле́ѩ;галілеѧ
$;Bibelstellen;LK_2;Lukas 2.04;prn.;$;und;и;и;и
g.sg.;Bibelstellen;LK_2;Lukas 2.04;sm.;;Stadt;градъ;гра́да;града
g.sg.m.;Bibelstellen;LK_2;Lukas 2.04;adj.;;Nazareth-;наꙅаретьскъ;наꙅаре́тьска;иазаретьска 
$;Bibelstellen;LK_2;Lukas 2.04;prp.;$;in;въ;въ;вь
a.sg.;Bibelstellen;LK_2;Lukas 2.04;sf.npr.;;Judea;Июдеꙗ;Июде́ѭ;нюдеѭ
$;Bibelstellen;LK_2;Lukas 2.04;prp.;$;in;въ;въ;вь
a.sg.;Bibelstellen;LK_2;Lukas 2.04;sm.;;Stadt;градъ;гра́дъ;градъ
a.sg.m.;Bibelstellen;LK_2;Lukas 2.04;adj.;;von David;давꙑдовъ;давꙑ́довъ ;ддвъ, 
$;Bibelstellen;LK_2;Lukas 2.04;prn.;$;rel.prn.;и;и;+іже
$;Bibelstellen;LK_2;Lukas 2.04;part.;$;же;же;же;іже
3.sg.prs.;Bibelstellen;LK_2;Lukas 2.04;vb.;;nennen;нарицати;нарица́ѥтъ;наріцаетъ
a.;Bibelstellen;LK_2;Lukas 2.04;prn.;$;refl.;сѧ;сѧ;сѧ
n.sg.;Bibelstellen;LK_2;Lukas 2.04;sm.npr.;;Bethlehem;Виѳлеемъ;Виѳлее́мъ ;віѳлеемь, 
$;Bibelstellen;LK_2;Lukas 2.04;cnj.;;weil;зане;зане́;зане
3.sg.impf.;Bibelstellen;LK_2;Lukas 2.04;vb.im.;a;sein;бꙑти;бѣ́аше;вѣаше
$;Bibelstellen;LK_2;Lukas 2.04;prp.;$;von;отъ;отъ;оⷮ
g.sg.;Bibelstellen;LK_2;Lukas 2.04;sm.;;Haus;домъ;до́моу;домоу
$;Bibelstellen;LK_2;Lukas 2.04;prn.;$;und;и;и;и
g.sg.;Bibelstellen;LK_2;Lukas 2.04;sn.;a;Familie;отьчьствиѥ;о́тьчьствиꙗ;отчствіѣ
g.sg.;Bibelstellen;LK_2;Lukas 2.04;adj.;;von David;давꙑдовъ;давꙑ́дова ;ддова, 
sup.;Bibelstellen;LK_2;Lukas 2.05;vb.;;aufschreiben;написати;написа́тъ;напісатъ
a.;Bibelstellen;LK_2;Lukas 2.05;prn.;$;refl.;сѧ;сѧ;сѧ
$;Bibelstellen;LK_2;Lukas 2.05;prp.;$;mit;съ;съ;съ
i.sg.;Bibelstellen;LK_2;Lukas 2.05;sf.npr.;;Maria;Мариꙗ;Мари́ѥѭ;маріеѭ
prc.prt.pass.i.sg.f.em.;Bibelstellen;LK_2;Lukas 2.05;vb.;;verheiraten;обрѫчити;обрѫче́нѫѭ;обрѫчеиѫѭ
d.sg.;Bibelstellen;LK_2;Lukas 2.05;prn.;$;er,sie,es;и;ѥмоу́;емоу
i.sg.;Bibelstellen;LK_2;Lukas 2.05;sf.;b;Ehefrau;жена;жено́ѭ ;женоѭ, 
prc.prs.act.i.sg.f.;Bibelstellen;LK_2;Lukas 2.05;vb.im.;a;sein;бꙑти;сѫщеѭ;сѫштеѭ
i.sg.f.;Bibelstellen;LK_2;Lukas 2.05;adj.;;schwanger;непраздьнъ;непра́здьноѭ ;непраздъноѭ, 
3.sg.aor.;Bibelstellen;LK_2;Lukas 2.06;vb.im.;a;sein;бꙑти;бꙑ́стъ;бꙑⷭ
$;Bibelstellen;LK_2;Lukas 2.06;part.;$;же;же;же;же
$;Bibelstellen;LK_2;Lukas 2.06;adv.;$;wann;ѥгда;ѥгда́;егда
2.du.aor.;Bibelstellen;LK_2;Lukas 2.06;vb.im.;a;sein;бꙑти;бꙑ́сте;бꙑсте
$;Bibelstellen;LK_2;Lukas 2.06;adv.;$;da,dort;тоу;тоу ;тоу, 
3.pl.aor.;Bibelstellen;LK_2;Lukas 2.06;vb.;a;erfüllen;исплънити;исплъ́нишѧ;исплънишѧ
a.;Bibelstellen;LK_2;Lukas 2.06;prn.;$;refl.;сѧ;сѧ;сѧ
n.pl.;Bibelstellen;LK_2;Lukas 2.06;sm.;b;Tag;дьнь;дь́ньѥ;дение
$;Bibelstellen;LK_2;Lukas 2.06;cnj.;$;dass;да;да;да
sup.;Bibelstellen;LK_2;Lukas 2.06;vb.pf.;;gebären;родити;роди́тъ ;родітъ, 
$;Bibelstellen;LK_2;Lukas 2.07;prn.;$;und;и;и;и
3.sg.aor.;Bibelstellen;LK_2;Lukas 2.07;vb.pf.;;gebären;родити;роди́;роді
a.sg.;Bibelstellen;LK_2;Lukas 2.07;sm.;;Sohn;сꙑнъ;сꙑ́нъ;снъ
a.sg.m.;Bibelstellen;LK_2;Lukas 2.07;prn.;$;sein,eigene(r,s);свои;свои;свои
a.sg.;Bibelstellen;LK_2;Lukas 2.07;sm.;;Erstgeborener;прьвѣньць;прь́вѣньць ;пръвѣнець, 
$;Bibelstellen;LK_2;Lukas 2.07;prn.;$;und;и;и;и
sup.;Bibelstellen;LK_2;Lukas 2.07;vb.;b;einwickeln;обити;обитъ;обитꙑ
a.sg.m.;Bibelstellen;LK_2;Lukas 2.07;prn.;$;er,sie,es;и ;и ;и, 
$;Bibelstellen;LK_2;Lukas 2.07;prn.;$;und;и;и;и
3.sg.aor.;Bibelstellen;LK_2;Lukas 2.07;vb.;b;hinlegen;положити;положи́;положі
a.sg.m.;Bibelstellen;LK_2;Lukas 2.07;prn.;$;er,sie,es;и;и;и
$;Bibelstellen;LK_2;Lukas 2.07;prp.;$;in;въ;въ;въ
l.pl.;Bibelstellen;LK_2;Lukas 2.07;sf.pl.;;Krippe;ꙗсли;ꙗ́сльхъ ;ѣслехъ, 
$;Bibelstellen;LK_2;Lukas 2.07;cnj.;;weil;зане;зане́;зане
$;Bibelstellen;LK_2;Lukas 2.07;part.;$;nicht;не;не;не
3.sg.impf.;Bibelstellen;LK_2;Lukas 2.07;vb.im.;a;sein;бꙑти;бѣ;бѣ
d.du.m.;Bibelstellen;LK_2;Lukas 2.07;prn.;$;er,sie,es;и;има́;има
g.sg.;Bibelstellen;LK_2;Lukas 2.07;sn.;a;Ort;мѣсто;мѣ́ста;мѣста
$;Bibelstellen;LK_2;Lukas 2.07;prp.;$;in;въ;въ;въ
l.sg.;Bibelstellen;LK_2;Lukas 2.07;sf.;;Herberge;обитѣль;оби́тѣли ;обитѣли, 
$;Bibelstellen;LK_2;Lukas 2.08;prn.;$;und;и;и;и
n.pl.;Bibelstellen;LK_2;Lukas 2.08;sm.;;Schäfer;пастꙑрь;па́стꙑри;пастъирі
3.pl.impf.;Bibelstellen;LK_2;Lukas 2.08;vb.im.;a;sein;бꙑти;бѣ́ахѫ;бѣахѫ
$;Bibelstellen;LK_2;Lukas 2.08;prp.;$;in;въ;въ;въ
l.sg.f.;Bibelstellen;LK_2;Lukas 2.08;prn.;;der-,die-,dasselbe;тъжде;тоижде;тоижде
l.sg.;Bibelstellen;LK_2;Lukas 2.08;sf.;;Gegend;страна;странѣ́;странѣ 
prc.prs.act.n.pl.m.;Bibelstellen;LK_2;Lukas 2.08;vb.;;wachen;бъдѣти;бъ́дѧще;бъдѧще
$;Bibelstellen;LK_2;Lukas 2.08;prn.;$;und;и;и;и
prc.prs.act.n.pl.m.;Bibelstellen;LK_2;Lukas 2.08;vb.;;hüten;стрѣшти;стрѣ́гѫще;стрѣгѫще
a.sg.;Bibelstellen;LK_2;Lukas 2.08;sf.;;Wache;стража;стра́жѫ;стражѫ
a.sg.f.em.;Bibelstellen;LK_2;Lukas 2.08;adj.;;nächtlich;нощьнъ;но́щьнѫѭ;нощьнѫѭ
$;Bibelstellen;LK_2;Lukas 2.08;prp.;;über;о;о;о
l.sg.;Bibelstellen;LK_2;Lukas 2.08;sn.;;Herde;стадо;ста́дѣ;стадѣ
l.sg.n.;Bibelstellen;LK_2;Lukas 2.08;prn.;$;sein,eigene(r,s);свои;своѥ́мь ;своемъ, 
$;Bibelstellen;LK_2;Lukas 2.09;prn.;$;und;и;и;и
$;Bibelstellen;LK_2;Lukas 2.09;adv.;$;ecce;се;се;се
n.sg.;Bibelstellen;LK_2;Lukas 2.09;sm.;;Engel;анђелъ;а́нђелъ;анђлъ
n.sg.m.;Bibelstellen;LK_2;Lukas 2.09;adj.;;des Herren;господьнь;госпо́дьнь;г҃нь
3.sg.aor.;Bibelstellen;LK_2;Lukas 2.09;vb.;a;stehen;стати;ста;ста
$;Bibelstellen;LK_2;Lukas 2.09;prp.;$;in;въ;въ;вь
l.pl.m.;Bibelstellen;LK_2;Lukas 2.09;prn.;$;er,sie,es;и ;нихъ ;нихъ, 
$;Bibelstellen;LK_2;Lukas 2.09;prn.;$;und;и;и;и
n.sg.;Bibelstellen;LK_2;Lukas 2.09;sf.;a;Ehre;слава;сла́ва;слава
n.sg.f.;Bibelstellen;LK_2;Lukas 2.09;adj.;;des Herren;господьнь;госпо́дьнꙗ;г҃нѣ
3.sg.aor.;Bibelstellen;LK_2;Lukas 2.09;vb.;;umleuchten;осиꙗти;осиꙗ́;осіѣ
a.pl.m.;Bibelstellen;LK_2;Lukas 2.09;prn.;$;er,sie,es;и;ѩ ;ѧ, 
$;Bibelstellen;LK_2;Lukas 2.09;prn.;$;und;и;и;и
3.pl.aor.;Bibelstellen;LK_2;Lukas 2.09;vb.;;fürchten;оубоꙗти;оубоꙗ́шѧ;оубоѣшѧ
a.;Bibelstellen;LK_2;Lukas 2.09;prn.;$;refl.;сѧ;сѧ;сѧ
i.sg.;Bibelstellen;LK_2;Lukas 2.09;sm.;c;Furcht;страхъ;стра́хомь;страхомъ
i.sg.m.;Bibelstellen;LK_2;Lukas 2.09;adj.;;groß;вельи;ве́льѥмь ;велиемъ, 
$;Bibelstellen;LK_2;Lukas 2.10;prn.;$;und;и;и;и
3.sg.aor.;Bibelstellen;LK_2;Lukas 2.10;vb.pf.;c;reden;рещи;ре́че;рече
d.pl.m.;Bibelstellen;LK_2;Lukas 2.10;prn.;$;er,sie,es;и;и́мъ;имъ
n.sg.;Bibelstellen;LK_2;Lukas 2.10;sm.;;Engel;анђелъ;а́нђелъ;анђлъ
$;Bibelstellen;LK_2;Lukas 2.10;part.;$;nicht;не;не;не
2.pl.imp.;Bibelstellen;LK_2;Lukas 2.10;vb.;;fürchten;боꙗти;бо́ите;боите
a.;Bibelstellen;LK_2;Lukas 2.10;prn.;$;refl.;сѧ;сѧ ;сѧ, 
$;Bibelstellen;LK_2;Lukas 2.10;adv.;$;ecce;се;се;се
$;Bibelstellen;LK_2;Lukas 2.10;cnj.;$;denn;бо;бо;бо
$;Bibelstellen;LK_2;Lukas 2.10;adv.;$;gut;благо;бла́го;+благовѣщаѭ
1.sg.prs.;Bibelstellen;LK_2;Lukas 2.10;vb.im.;;verkünden;бѣщати;вѣща́ѭ;благовѣщаѭ
d.pl.;Bibelstellen;LK_2;Lukas 2.10;prn.;$;ihr;вꙑ ;вамъ ;вамъ, 
a.sg.;Bibelstellen;LK_2;Lukas 2.10;sf.;;Freude;радость;ра́дость;радость
a.sg.f.;Bibelstellen;LK_2;Lukas 2.10;adj.;;groß;вельи;ве́льѭ;веліѭ,
n.sg.f.;Bibelstellen;LK_2;Lukas 2.10;prn.;$;rel.prn.;и;ꙗ;+ѣже
$;Bibelstellen;LK_2;Lukas 2.10;part.;$;же;же;же;ѣже
3.sg.fut.;Bibelstellen;LK_2;Lukas 2.10;vb.im.;a;sein;бꙑти;бѫ́детъ;бѫдет
d.pl.m.;Bibelstellen;LK_2;Lukas 2.10;prn.;;all,ganz;вьсь;вьсѣ́мъ;бьсѣмь
d.pl.;Bibelstellen;LK_2;Lukas 2.10;sm.pl.;;Leute;людье ;лю́дьмъ ;людемъ. 
$;Bibelstellen;LK_2;Lukas 2.11;adv.;$;dass;ꙗко;ꙗ́ко;ѣко
3.sg.aor.;Bibelstellen;LK_2;Lukas 2.11;vb.pf.;;gebären;родити;роди́;роді
a.;Bibelstellen;LK_2;Lukas 2.11;prn.;$;pass.;сѧ;сѧ;сѧ
d.pl.;Bibelstellen;LK_2;Lukas 2.11;prn.;$;ihr;вꙑ;ва́мъ;вамъ
a.sg.;Bibelstellen;LK_2;Lukas 2.11;sm.;;Erlöser;съпасъ;съпа́съ ;спсъ, 
$;Bibelstellen;LK_2;Lukas 2.11;prn.;$;rel.prn.;и;и;+іже
$;Bibelstellen;LK_2;Lukas 2.11;part.;$;же;же;же;іже
3.sg.prs.;Bibelstellen;LK_2;Lukas 2.11;vb.im.;a;sein;бꙑти;ѥ́стъ;естъ
n.sg.;Bibelstellen;LK_2;Lukas 2.11;sm.;;Christus;хрьстъ;хрь́стъ;хь
n.sg.;Bibelstellen;LK_2;Lukas 2.11;sm.;c;Herr;господь ;госпо́дь ;гь, 
$;Bibelstellen;LK_2;Lukas 2.11;prp.;$;in;въ;въ;въ
l.sg.;Bibelstellen;LK_2;Lukas 2.11;sm.;;Stadt;градъ;гра́дѣ;градѣ
l.sg.m.;Bibelstellen;LK_2;Lukas 2.11;adj.;;von David;давꙑдовъ;давꙑ́довѣ ;ддвѣ, 
$;Bibelstellen;LK_2;Lukas 2.12;prn.;$;und;и;и;и
n.sg.n.;Bibelstellen;LK_2;Lukas 2.12;pron.;$;diese(r,s);сь;се;се
d.pl.;Bibelstellen;LK_2;Lukas 2.12;prn.;$;ihr;вꙑ;ва́мъ;вамъ
n.sg.;Bibelstellen;LK_2;Lukas 2.12;sn.;a;Zeichen;знамениѥ;зна́мениѥ ;знамение, 
2.pl.prs.;Bibelstellen;LK_2;Lukas 2.12;vb.pf.;a;finden;обрѣсти;обрѧ́щете;обрѧштете
a.sg.;Bibelstellen;LK_2;Lukas 2.12;sm.;;Kind;младьньць;младь́ньць;младьнець
prc.prt.pass.a.sg.m.;Bibelstellen;LK_2;Lukas 2.12;vb.;;einwickeln;повити;пови́тъ ;повітъ, 
$;Bibelstellen;LK_2;Lukas 2.12;prn.;$;und;и;и;и
prc.prs.act.a.sg.m.;Bibelstellen;LK_2;Lukas 2.12;vb.;;liegen;лежати;лежѧ́щь;лежѧшть
$;Bibelstellen;LK_2;Lukas 2.12;prp.;$;in;въ;въ;вь
l.pl.;Bibelstellen;LK_2;Lukas 2.12;sf.pl.;;Krippe;ꙗсли;ꙗ́сльхъ ;ѣслехъ, 
$;Bibelstellen;LK_2;Lukas 2.13;prn.;$;und;и;и;и
$;Bibelstellen;LK_2;Lukas 2.13;adv.;$;plötzlich;вънезаꙗпѫ;вънезаꙗ́пѫ;вънезаапѫ
3.sg.aor.perf.;Bibelstellen;LK_2;Lukas 2.13;vb.im.;a;sein;бꙑти;бꙑ́стъ;бꙑстъ
$;Bibelstellen;LK_2;Lukas 2.13;prp.;$;mit;съ;съ;съ
i.sg.;Bibelstellen;LK_2;Lukas 2.13;sm.;;Engel;анђелъ;а́нђеломь ;анђлмъ, 
n.sg.;Bibelstellen;LK_2;Lukas 2.13;sn.;a;Menge;мъножьство;мъно́жьство;множьство
g.pl.;Bibelstellen;LK_2;Lukas 2.13;sm.pl.;c;Herrscharen;вои;во́и;вои
g.pl.m.em;Bibelstellen;LK_2;Lukas 2.13;adj.;;himmlisch;небесьнъ;небе́сьнъихъ;нбснꙑих,
prc.prs.act.g.pl.m.em.;Bibelstellen;LK_2;Lukas 2.13;vb.;;preisen;хвалити;хвалѧ́щьихъ;хвалѧштиихъ
g.sg.;Bibelstellen;LK_2;Lukas 2.13;sm.;c;Gott;богъ;бо́га;ба,
$;Bibelstellen;LK_2;Lukas 2.13;prn.;$;und;и;и;и
prc.prs.act.g.pl.m.;Bibelstellen;LK_2;Lukas 2.13;vb.;a;sprechen;глаголати;глаго́лѭщь;глѭшть 
n.sg.;Bibelstellen;LK_2;Lukas 2.14;sf.;a;Ehre;слава;сла́ва;сла
$;Bibelstellen;LK_2;Lukas 2.14;prp.;$;in;въ;въ;въ
l.pl.m.em.;Bibelstellen;LK_2;Lukas 2.14;adj.;;hoch;вꙑшьнь;вꙑ́шьниихъ;вꙑшніих
d.sg.;Bibelstellen;LK_2;Lukas 2.14;sm.;c;Gott;богъ;бо́гоу;боу,
$;Bibelstellen;LK_2;Lukas 2.14;prn.;$;und;и;и;и
$;Bibelstellen;LK_2;Lukas 2.14;prp.;$;auf;на;на;на
l.sg.;Bibelstellen;LK_2;Lukas 2.14;sf.;c;Erde;земл҄ꙗ;земли́;земи
n.sg.;Bibelstellen;LK_2;Lukas 2.14;sm.;c;Friede;миръ;ми́ръ;миръ 
$;Bibelstellen;LK_2;Lukas 2.14;prp.;$;in;въ;въ;въ
l.pl.;Bibelstellen;LK_2;Lukas 2.14;sm.;a;Mensch;чьловѣкъ;чьловѣ́цѣхъ;члцѣхъ
$;Bibelstellen;LK_2;Lukas 2.14;adv.;$;gut;благо;бла́го;+влаговоление, 
n.sg.;Bibelstellen;LK_2;Lukas 2.14;sn.;a;Wollen;волениѥ;воле́ниѥ ;влаговоление, 
$;Bibelstellen;LK_2;Lukas 2.15;prn.;$;und;и;и;и
3.sg.aor.;Bibelstellen;LK_2;Lukas 2.15;vb.im.;a;sein;бꙑти;бꙑ́стъ;бꙑстъ
$;Bibelstellen;LK_2;Lukas 2.15;adv.;$;wie;ꙗко;ꙗ́ко;ѣко
3.pl.aor.;Bibelstellen;LK_2;Lukas 2.15;vb.;;weggehen;отити;оти́дѫ;отідѫ
$;Bibelstellen;LK_2;Lukas 2.15;prp.;$;von;отъ;отъ;оть
l.pl.m.;Bibelstellen;LK_2;Lukas 2.15;prn.;$;er,sie,es;и;н҄и́хъ;ніхъ
n.pl.;Bibelstellen;LK_2;Lukas 2.15;sm.;;Engel;анђелъ;а́нђели;анђлі
$;Bibelstellen;LK_2;Lukas 2.15;prp.;$;auf;на;на;на
a.sg.;Bibelstellen;LK_2;Lukas 2.15;sn.;c;Himmel;небо;не́бо ;н҃бо, 
$;Bibelstellen;LK_2;Lukas 2.15;prn.;$;und;и;и;и
